system:index,Area_km2,BareLand,Builtup,Cropland,District,Grassland,Grid_ID,Mangroves,MossLichen,Shrubland,SnowIce,TreeCover,Water,Wetland,.geo
"00010000000000001803_1865,606",20.057841946167322,0.1503948922027373,4.222124458827125,86.15789565749773,Deoria,1.538221891809154,GRID_000034,0,0,0.0013381729129312962,0,7.234636812874433,0.6953881138758898,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9325000.0,3030000.0],[9330000.0,3030000.0],[9330000.0,3035000.0],[9325000.0,3035000.0],[9325000.0,3030000.0]]]}"
"00010000000000001803_1866,606",20.057841946166693,0.053972974154895687,4.4914628066646225,85.09587265491756,Deoria,1.0727896094809124,GRID_000035,0,0,0.0013381729129312982,0,9.197136484890898,0.0459439366773079,0.04148336030087024,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9330000.0,3030000.0],[9335000.0,3030000.0],[9335000.0,3035000.0],[9330000.0,3035000.0],[9330000.0,3030000.0]]]}"
"00010000000000001803_1867,606",20.05784194616672,0.0453509424060874,3.435322517164475,84.99502514540606,Deoria,0.7871238028600178,GRID_000036,0,0,4.4605763764376643E-4,0,10.690708881794725,0.04602265273100977,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9335000.0,3030000.0],[9340000.0,3030000.0],[9340000.0,3035000.0],[9335000.0,3035000.0],[9335000.0,3030000.0]]]}"
"00010000000000001803_1868,606",20.0578419461671,0.22388070144750075,7.425661433506798,75.948538942581,Deoria,2.027247999300302,GRID_000037,0,0,0,0,13.756051952595453,0.6181729129312984,4.4605763764376594E-4,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9340000.0,3030000.0],[9345000.0,3030000.0],[9345000.0,3035000.0],[9340000.0,3035000.0],[9340000.0,3030000.0]]]}"
"00010000000000001803_1869,606",20.05784194617365,0.17944111601871693,5.168630777976999,75.24435562163819,Deoria,4.337198583111033,GRID_000038,0,0,4.460576376437662E-4,0,13.088135741461477,1.9746551799536451,0.007136922202300259,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9345000.0,3030000.0],[9350000.0,3030000.0],[9350000.0,3035000.0],[9345000.0,3035000.0],[9345000.0,3030000.0]]]}"
"00010000000000001803_1870,606",20.057841946173227,0.15091266891153182,4.513508549438052,81.6333581143132,Deoria,3.0896523374294826,GRID_000039,0,0,8.921152752875319E-4,0,10.531385839856565,0.07270739493593384,0.00758297983994402,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9350000.0,3030000.0],[9355000.0,3030000.0],[9355000.0,3035000.0],[9350000.0,3035000.0],[9350000.0,3030000.0]]]}"
"00010000000000001803_1871,606",20.05784194616172,0.040218655704727296,6.368740980452175,78.76618533257536,Deoria,0.9868281803472246,GRID_000040,0,0,4.460576376437658E-4,0,13.788514453142053,0.017396247868106864,0.03167009227270737,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9355000.0,3030000.0],[9360000.0,3030000.0],[9360000.0,3035000.0],[9355000.0,3035000.0],[9355000.0,3030000.0]]]}"
"00010000000000001803_1872,606",20.05784194617359,0.018288363143394423,6.495054007959071,71.10264748327279,Deoria,0.7727380067345962,GRID_000041,0,0,0,0,21.561759741111683,0.04862028250317054,8.921152752875329E-4,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9360000.0,3030000.0],[9365000.0,3030000.0],[9365000.0,3035000.0],[9360000.0,3035000.0],[9360000.0,3030000.0]]]}"
"00010000000000001803_1873,606",20.05784194616161,0.020964708969256993,5.855542047492014,66.85371233655488,Deoria,0.7433436830366896,GRID_000042,0,0,0.002230288188218829,0,26.51528578300607,0.008921152752875316,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9365000.0,3030000.0],[9370000.0,3030000.0],[9370000.0,3035000.0],[9365000.0,3035000.0],[9365000.0,3030000.0]]]}"
"00010000000000001803_1861,607",20.04391825671256,0.03882874920145968,3.153500013126692,85.19691435272291,Deoria,1.4046030926481778,GRID_000043,0,0,0,0,3.3717461123119636,6.7638911009792535,0.07051657900954746,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9305000.0,3035000.0],[9310000.0,3035000.0],[9310000.0,3040000.0],[9305000.0,3040000.0],[9305000.0,3035000.0]]]}"
